shipment_no,log,current_status
C1769596,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635696,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635695,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635693,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635717,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769583,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635685,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635684,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769553,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769573,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769567,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769564,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635875,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769556,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769528,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
